instant_x,dteday,season,yr_x,mnth_x,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,is_weekend_x,year,week,month,instant_y,yr_y,mnth_y,hr,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y,is_weekend_y,hour_block
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,1,0,1,0,0,Saturday,0,1,0.24,0.2879,0.81,0.0,3,13,16,True,Night (22-05)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,2,0,1,1,0,Saturday,0,1,0.22,0.2727,0.8,0.0,8,32,40,True,Night (22-05)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,3,0,1,2,0,Saturday,0,1,0.22,0.2727,0.8,0.0,5,27,32,True,Night (22-05)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,4,0,1,3,0,Saturday,0,1,0.24,0.2879,0.75,0.0,3,10,13,True,Night (22-05)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,5,0,1,4,0,Saturday,0,1,0.24,0.2879,0.75,0.0,0,1,1,True,Night (22-05)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,6,0,1,5,0,Saturday,0,2,0.24,0.2576,0.75,0.0896,0,1,1,True,Night (22-05)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,7,0,1,6,0,Saturday,0,1,0.22,0.2727,0.8,0.0,2,0,2,True,Morning (06-11)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,8,0,1,7,0,Saturday,0,1,0.2,0.2576,0.86,0.0,1,2,3,True,Morning (06-11)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,9,0,1,8,0,Saturday,0,1,0.24,0.2879,0.75,0.0,1,7,8,True,Morning (06-11)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,10,0,1,9,0,Saturday,0,1,0.32,0.3485,0.76,0.0,8,6,14,True,Morning (06-11)
1,2011-01-01,1,0,1,0,Saturday,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,True,2011,52,1,11,0,1,10,0,Saturday,0,1,0.38,0.3939,0.76,0.2537,12,24,36,True,Morning (06-11)
